url_no,url,status,model,p_phishing,prediction,rank,feature,feature_value,shap_signed,abs_shap,direction
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,1,google_index,1.0,0.08358,0.08358,PHISHING
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,2,page_rank,7.83,-0.067107,0.067107,BENIGN
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,3,nb_hyperlinks,151.0,-0.06403,0.06403,BENIGN
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,4,web_traffic,0.0,0.040412,0.040412,PHISHING
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,5,nb_www,0.0,0.031279,0.031279,PHISHING
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,6,domain_in_brand,1.0,-0.030305,0.030305,BENIGN
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,7,domain_age,0.0,0.027717,0.027717,PHISHING
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,8,ratio_extMedia,100.0,-0.013126,0.013126,BENIGN
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,9,char_repeat,2.0,0.012869,0.012869,PHISHING
1,https://github.com,benign,Random Forest (GA),0.435,BENIGN,10,ratio_intHyperlinks,0.913907284768212,-0.01214,0.01214,BENIGN
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,1,page_rank,7.83,-1.442231,1.442231,BENIGN
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,2,nb_hyperlinks,151.0,-1.26054,1.26054,BENIGN
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,3,google_index,1.0,1.051328,1.051328,PHISHING
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,4,nb_www,0.0,0.917669,0.917669,PHISHING
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,5,domain_in_brand,1.0,-0.854733,0.854733,BENIGN
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,6,phish_hints,0.0,-0.419921,0.419921,BENIGN
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,7,length_url,18.0,0.392311,0.392311,PHISHING
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,8,web_traffic,0.0,0.372484,0.372484,PHISHING
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,9,shortest_word_path,0.0,-0.345098,0.345098,BENIGN
1,https://github.com,benign,XGBoost (GA),0.1095,BENIGN,10,nb_hyphens,0.0,0.331981,0.331981,PHISHING
1,https://github.com,benign,"Stacking (RF+XGB+LR, GA)",0.1415,BENIGN,1,page_rank,7.83,-0.08865,0.08865,BENIGN
1,https://github.com,benign,"Stacking (RF+XGB+LR, GA)",0.1415,BENIGN,2,nb_hyperlinks,151.0,-0.082674,0.082674,BENIGN
1,https://github.com,benign,"Stacking (RF+XGB+LR, GA)",0.1415,BENIGN,3,domain_in_brand,1.0,-0.07931,0.07931,BENIGN
